,,,,,,UUID,8b857673-a397-4597-bb42-6dc68aa373f7,80f67991-83de-42b8-bfc3-9a0e66bfa527,0fdcefc4-c989-4c37-b5a6-ebd0336acd24,16daf8a1-d879-4c8a-adc5-ecdf54d38191,9dcfe8c1-61c8-489c-8340-83275f8498ac,c32c7394-c67d-4cda-9e5f-30c95146c684,de7c4438-f1c8-4b44-9c62-b1f78065881f,960d3567-1e60-4c5c-9e89-adc1f0e14919,db5f18de-417e-4c03-9e4a-81f506aebe82,24c6d886-d3bb-4796-b767-c7deacd6fb49
,,,,,,Sub category,"biomass - renewable energy resources, biomass","fossil - non-renewable energy resources, fossil","metals - non-renewable material resources, metals","minerals - non-renewable material resources, minerals","nuclear - non-renewable energy resources, nuclear","primary forest - non-renewable energy resources, primary forest","solar - renewable energy resources, solar, converted","water - renewable energy resources, potential (in barrage water), converted","water resources - renewable material resources, water","wind - renewable energy resources, kinetic (in wind), converted"
,,,,,,Category,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand,ei -  cumulative exergy demand
,,,,,,Unit,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq
UUID,Category,Sub category,Elementary flowname,Elementary flow location,Unit,,,,,,,,,,,
1f130425-11f9-4ec2-8d2f-d282acaacf5c,Emission to air,high population density,Acetone,,kg,,,,,,,,,,,
7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f,Emission to air,low population density,Acetone,,kg,,,,,,,,,,,
f3d5fd96-8805-4d3d-867a-5df27975b07f,Emission to air,unspecified,Acetone,,kg,,,,,,,,,,,
0e8f17d0-3e52-4f6f-bef9-60f6007a7aab,Emission to water,surface water,Acetone,,kg,,,,,,,,,,,
d78a3d22-4bed-4ad3-8a9c-1cc4645188d0,Emission to water,unspecified,Acetone,,kg,,,,,,,,,,,
f7553ef8-e4f3-4b9c-98be-81fa36315648,Emission to air,low population density,Acetonitrile,,kg,,,,,,,,,,,
b4604f84-4a09-412e-86ed-078533d9da5d,Emission to water,surface water,Acetonitrile,,kg,,,,,,,,,,,
d1528862-956f-4441-b2ac-cce8ae963805,Emission to water,surface water,Acetyl chloride,,kg,,,,,,,,,,,
ce6e5657-5e48-472d-b67e-fab246234be6,Emission to water,surface water,"Acidity, unspecified",,kg,,,,,,,,,,,
b37294bd-947d-4f35-b9e6-3eb259c05ff5,Emission to water,unspecified,"Acidity, unspecified",,kg,,,,,,,,,,,
3275a1af-934e-46d4-9cdd-7a78317eabb6,Emission to air,low population density,Acifluorfen,,kg,,,,,,,,,,,
1dcae348-9373-4ff6-96f0-1a444fa96587,Emission to air,low population density,Acifluorfen,,kg,,,,,,,,,,,
