ceb19cad-78ed-3635-902c-d7ac03e5b830,emission,air,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,kg,,,,,,,,,,1.66E-12,,,,,,,1.74E-13,5.53E-13,,,,4.72E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79E-12,,,,,,,,,,,,,,,
6bb0e0ee-59dd-3795-b0fb-ffbdf23ec4b4,water,fresh water body,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fbf4799-8de2-3760-bb42-6b8128228f04,emission,air,"2,4-Dimethylphenol",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c979ddf8-5576-36eb-bc76-040e01f99cc6,emission,water,"2,4-Dimethylphenol",,kg,,,,,,,9.96E-08,6.20E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fdbc046-29ad-3377-a9c1-a45031e0cd53,emission,air,"2,4-Dinitrotoluene",,kg,,,,,,1.40E-10,,,,,,,,,,,,,,,,,,,,,,,,,,1.40E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc661fdc-7c3a-3ce3-81dd-7c3ac1f859a8,air,stratosphere,2-Chloroacetophenone,,kg,,,,,,3.50E-09,,,,,,,,,,,,,,,,,,,,,,,,,,3.50E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0bf913b1-486a-3ce1-991b-d1e8687b67e0,emission,air,2-Chloroacetophenone,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7cebd38-4cdb-39ba-aa58-b9970b32743c,emission,water,2-Hexanone,,kg,,,,,,,2.32E-08,1.45E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5909dac-f3da-44a5-8890-0d2a36500e17,Emission to air,lower stratosphere + upper troposphere,2-Hexanone,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92c83b8e-2ed2-31af-a119-b29023aa3798,emission,air,2-Methylbutane,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001,,,,,,,,,,,,,,,,,,,
5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,emission,air,2-Methylnaphthalene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ec9de49-e009-3d2f-bc58-502fb0da5a3f,emission,water,2-Methylnaphthalene,,kg,,,,,,,5.63E-08,3.31E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131a370-a6cf-3a72-8756-6aa30666e3f7,emission,air,2-Methylpentane,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,
e938bd59-d414-3da4-b524-a13c18a50706,emission,water,3-Methylcholanthrene,,kg,,,,,,,,,,,,,,,,,,,,,,,,1.00E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-09,,,,,,,,,,,,,,,,,,
7795f13f-6ea8-34c4-8c93-6f69152545cf,Emission to air,lower stratosphere + upper troposphere,3-Methylcholanthrene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
